t_ms,ax,ay,az,steps
2603,-127,-14,-1009,0
2645,-128,-14,-1010,0
2686,-129,-15,-1010,0
2730,-128,-15,-1008,0
2772,-127,-15,-1009,0
2813,-128,-14,-1010,0
2855,-127,-14,-1009,0
2901,-126,-14,-1009,0
2943,-128,-15,-1009,0
2988,-128,-14,-1010,0
3031,-127,-15,-1009,0
3072,-129,-15,-1010,0
3114,-127,-15,-1010,0
3155,-128,-14,-1009,0
3198,-128,-15,-1009,0
3239,-128,-14,-1010,0
3281,-128,-14,-1010,0
3322,-128,-15,-1010,0
3363,-128,-15,-1008,0
3405,-128,-14,-1010,0
3447,-127,-14,-1010,0
3488,-127,-14,-1010,0
3531,-127,-13,-1009,0
3572,-128,-14,-1008,0
3615,-129,-14,-1010,0
3657,-127,-14,-1009,0
3699,-127,-15,-1011,0
3740,-128,-15,-1010,0
3781,-128,-14,-1010,0
3823,-130,-14,-1009,0
3865,-128,-15,-1009,0
3906,-128,-15,-1009,0
3949,-128,-14,-1008,0
3990,-128,-14,-1010,0
4031,-128,-15,-1010,0
4074,-128,-13,-1009,0
4115,-127,-15,-1010,0
4157,-128,-14,-1010,0
4198,-128,-15,-1009,0
4240,-128,-14,-1009,0
4282,-128,-15,-1010,0
4324,-126,-15,-1010,0
4365,-128,-13,-1010,0
4406,-127,-14,-1008,0
4448,-127,-14,-1009,0
4490,-127,-14,-1010,0
4531,-128,-15,-1009,0
4573,-128,-15,-1009,0
4615,-128,-14,-1010,0
4656,-128,-14,-1009,0
4699,-127,-14,-1009,0
4740,-128,-14,-1008,0
4781,-127,-14,-1009,0
4822,-128,-14,-1009,0
4863,-128,-14,-1009,0
4906,-128,-15,-1007,0
4947,-128,-14,-1009,0
4988,-127,-15,-1010,0
5031,-126,-15,-1010,0
5072,-128,-15,-1011,0
5114,-128,-15,-1009,0
5155,-129,-16,-1013,0
5196,-125,-4,-995,0
5239,-130,-19,-1010,0
5280,-130,-18,-1016,0
5321,-128,-11,-1005,0
5363,-127,-17,-1009,0
5404,-125,-12,-1006,0
5446,-127,-13,-1006,0
5487,-127,-17,-1010,0
5529,-127,-14,-1006,0
5570,-129,-13,-1011,0
5612,-128,-17,-1011,0
5653,-128,-13,-1011,0
5694,-129,-16,-1009,0
5736,-127,-14,-1009,0
5778,-128,-14,-1007,0
5819,-129,-14,-1010,0
5860,-127,-14,-1007,0
5901,-129,-14,-1010,0
5942,-126,-13,-1008,0
5983,-126,-14,-1009,0
6024,-128,-14,-1008,0
6065,-127,-12,-1007,0
6110,-127,-15,-1010,0
6151,-128,-14,-1010,0
6192,-125,-14,-1007,0
6233,-129,-15,-1008,0
6274,-128,-14,-1011,0
6317,-128,-13,-1010,0
6359,-128,-14,-1008,0
6400,-128,-14,-1010,0
6441,-126,-16,-1009,0
6482,-129,-15,-1010,0
