t_ms,ax,ay,az,steps
125383,167,-929,-328,0
125424,163,-929,-328,0
125465,166,-929,-328,0
125506,170,-930,-328,0
125547,173,-927,-328,0
125588,171,-926,-328,0
125629,166,-931,-328,0
125670,165,-930,-328,0
125711,165,-931,-328,0
125752,166,-931,-328,0
125793,166,-931,-328,0
125834,167,-930,-328,0
125875,167,-930,-329,0
125920,167,-929,-328,0
125961,167,-930,-328,0
126002,167,-929,-329,0
126043,166,-931,-328,0
126084,166,-930,-328,0
126125,168,-931,-328,0
126167,168,-930,-329,0
126207,166,-929,-328,0
126248,166,-930,-329,0
126289,167,-929,-328,0
126330,167,-930,-329,0
126371,167,-929,-328,0
126412,166,-929,-328,0
126453,168,-929,-328,0
126494,169,-930,-328,0
126535,168,-929,-328,0
126576,167,-930,-328,0
126617,167,-929,-328,0
126658,167,-930,-328,0
126699,167,-931,-328,0
126740,166,-930,-328,0
126782,168,-931,-328,0
126823,168,-929,-329,0
126864,169,-929,-328,0
126905,168,-927,-328,0
126946,166,-928,-328,0
126988,167,-929,-328,0
127029,167,-931,-328,0
127070,168,-932,-328,0
127111,167,-930,-329,0
127152,169,-930,-329,0
127194,168,-931,-328,0
127235,166,-928,-328,0
127276,167,-928,-328,0
127317,167,-929,-328,0
127358,169,-931,-329,0
127400,167,-930,-328,0
127441,167,-930,-329,0
127482,167,-929,-329,0
127523,167,-931,-328,0
127564,167,-931,-328,0
127605,169,-930,-328,0
127646,168,-930,-328,0
127687,167,-929,-328,0
127728,167,-929,-328,0
127769,167,-931,-328,0
127810,166,-931,-328,0
127851,166,-931,-328,0
127892,167,-930,-328,0
127933,167,-930,-329,0
127974,168,-929,-329,0
128015,168,-930,-328,0
128056,166,-929,-328,0
128097,166,-929,-329,0
128138,167,-929,-328,0
128179,168,-931,-328,0
128220,168,-928,-328,0
128261,167,-930,-328,0
128302,166,-929,-328,0
128343,167,-930,-328,0
128385,166,-929,-328,0
128426,167,-928,-328,0
128467,168,-930,-328,0
128508,168,-930,-328,0
128549,167,-929,-329,0
128590,168,-929,-328,0
128631,167,-931,-329,0
128672,167,-929,-329,0
128713,166,-930,-328,0
128754,167,-931,-328,0
128795,168,-931,-328,0
128836,168,-929,-328,0
128877,168,-930,-328,0
128918,167,-929,-328,0
128959,165,-928,-328,0
129000,169,-931,-329,0
129041,168,-930,-329,0
129082,167,-932,-328,0
129123,166,-930,-328,0
129164,165,-929,-328,0
129205,166,-929,-328,0
129247,167,-929,-328,0
129288,168,-931,-329,0
129329,170,-930,-328,0
129370,167,-932,-328,0
129411,166,-931,-328,0
129452,166,-930,-329,0
129494,168,-931,-329,0
129535,168,-929,-328,0
129576,168,-928,-329,0
129617,168,-930,-328,0
129658,167,-930,-328,0
129700,168,-930,-329,0
129741,166,-931,-328,0
129782,165,-930,-329,0
129823,166,-929,-328,0
129864,170,-931,-328,0
129906,169,-928,-328,0
129947,167,-932,-329,0
129988,164,-929,-328,0
130029,166,-930,-328,0
130070,169,-931,-329,0
130112,170,-929,-329,0
130153,170,-930,-328,0
130194,168,-931,-328,0
130235,166,-930,-328,0
130276,165,-930,-329,0
130318,166,-929,-328,0
130359,168,-930,-328,0
130400,169,-929,-328,0
130441,170,-929,-328,0
130482,167,-928,-328,0
130523,166,-931,-328,0
130564,166,-929,-329,0
130605,168,-931,-328,0
130646,167,-929,-328,0
130687,166,-929,-328,0
130728,168,-931,-328,0
130769,169,-930,-328,0
130810,168,-930,-328,0
130851,166,-929,-329,0
130892,166,-929,-328,0
130933,166,-931,-328,0
130974,167,-929,-328,0
131015,168,-930,-329,0
131059,169,-930,-328,0
131100,168,-930,-328,0
131141,166,-929,-328,0
131182,166,-930,-329,0
131223,166,-929,-328,0
131264,168,-931,-329,0
131306,168,-930,-328,0
131346,168,-930,-328,0
131387,167,-931,-328,0
131428,168,-930,-329,0
131469,167,-929,-329,0
131510,167,-931,-328,0
131551,166,-929,-328,0
131592,168,-931,-328,0
131633,169,-930,-328,0
131674,168,-929,-328,0
131715,167,-930,-328,0
131756,166,-928,-328,0
131797,166,-931,-328,0
131838,167,-930,-328,0
131879,168,-929,-328,0
131920,168,-931,-328,0
131961,168,-929,-329,0
132002,166,-929,-328,0
132043,167,-930,-329,0
132084,167,-930,-329,0
132125,168,-930,-328,0
132166,167,-930,-329,0
132208,168,-930,-328,0
132249,168,-929,-328,0
132290,168,-931,-328,0
132331,169,-930,-329,0
132372,167,-929,-328,0
132414,167,-930,-328,0
132455,166,-929,-328,0
132496,168,-931,-328,0
132537,170,-930,-329,0
132578,168,-930,-328,0
132620,167,-931,-328,0
132661,165,-929,-328,0
132702,167,-931,-328,0
132743,168,-931,-328,0
132784,168,-929,-328,0
132826,168,-930,-328,0
132867,167,-930,-328,0
132908,167,-930,-328,0
132949,166,-931,-328,0
132990,167,-930,-329,0
133032,168,-931,-328,0
133073,167,-930,-329,0
133114,167,-930,-329,0
133155,168,-930,-328,0
133196,168,-931,-328,0
133238,168,-929,-328,0
133279,167,-930,-328,0
133320,166,-930,-328,0
133362,164,-930,-328,0
133402,168,-931,-328,0
133444,169,-930,-329,0
133485,169,-930,-328,0
133526,166,-931,-328,0
133567,165,-928,-328,0
133608,167,-931,-328,0
133649,167,-930,-328,0
133690,169,-929,-328,0
133732,167,-932,-328,0
133773,167,-931,-328,0
133814,168,-929,-328,0
133855,167,-931,-328,0
133896,167,-930,-329,0
133937,169,-931,-328,0
133978,167,-930,-328,0
134019,168,-930,-329,0
134060,168,-930,-328,0
134101,166,-931,-329,0
134142,169,-929,-328,0
134183,168,-930,-328,0
134224,168,-930,-328,0
134265,166,-930,-328,0
134306,167,-932,-328,0
134347,168,-931,-329,0
134388,168,-928,-328,0
134429,168,-933,-328,0
134470,166,-929,-328,0
134511,167,-931,-328,0
134552,166,-932,-328,0
134593,167,-930,-328,0
134634,169,-930,-328,0
134675,169,-929,-329,0
134716,168,-929,-328,0
134757,166,-930,-328,0
134798,167,-930,-329,0
134839,168,-931,-329,0
134881,168,-930,-328,0
134922,167,-930,-328,0
134963,168,-931,-328,0
135004,168,-931,-328,0
135045,167,-931,-328,0
135086,168,-930,-329,0
135128,168,-930,-328,0
135169,167,-930,-328,0
135210,165,-929,-328,0
135251,169,-931,-329,0
135292,170,-931,-328,0
135334,168,-930,-328,0
135375,165,-930,-329,0
135416,166,-930,-328,0
135457,167,-931,-328,0
135498,167,-930,-329,0
135540,168,-930,-329,0
135581,169,-930,-329,0
135622,167,-930,-328,0
135663,167,-932,-329,0
135704,167,-930,-328,0
135746,167,-930,-328,0
135787,168,-931,-328,0
135828,167,-931,-328,0
135869,167,-929,-329,0
135910,168,-928,-329,0
135951,169,-930,-328,0
135993,169,-931,-328,0
136034,168,-930,-328,0
136075,167,-931,-328,0
136116,166,-930,-328,0
136158,166,-930,-328,0
136204,169,-931,-329,0
136245,169,-929,-328,0
136286,168,-932,-329,0
136327,166,-929,-329,0
136369,168,-930,-328,0
136411,166,-930,-328,0
136452,168,-930,-328,0
136493,169,-930,-329,0
136534,169,-930,-329,0
136576,167,-929,-328,0
136617,167,-930,-328,0
136658,166,-932,-328,0
136699,168,-930,-328,0
136740,168,-930,-328,0
136781,168,-930,-328,0
136822,167,-930,-329,0
136863,168,-930,-328,0
136904,168,-931,-329,0
136945,169,-930,-328,0
136986,167,-929,-328,0
137027,168,-930,-328,0
137068,166,-930,-328,0
137109,169,-931,-328,0
137150,170,-930,-328,0
137191,168,-930,-328,0
137233,167,-931,-329,0
137274,166,-929,-328,0
137315,167,-931,-328,0
137356,167,-931,-329,0
137397,168,-930,-328,0
137439,169,-930,-328,0
137480,169,-930,-328,0
137521,166,-929,-328,0
137562,166,-929,-328,0
137603,166,-931,-327,0
137644,168,-930,-328,0
137685,168,-930,-328,0
137726,168,-931,-328,0
137767,167,-928,-328,0
137808,167,-930,-328,0
137849,167,-930,-329,0
137890,169,-928,-328,0
137931,168,-931,-328,0
137972,168,-931,-328,0
138013,166,-930,-328,0
138054,169,-931,-328,0
138095,168,-929,-328,0
138136,167,-930,-329,0
138177,166,-932,-328,0
138218,166,-929,-328,0
138260,167,-932,-328,0
138301,168,-930,-328,0
138342,170,-931,-328,0
138383,169,-930,-328,0
138424,169,-931,-328,0
138466,168,-929,-328,0
138507,167,-931,-328,0
138548,167,-931,-328,0
138589,168,-930,-329,0
138630,168,-930,-328,0
138671,167,-930,-329,0
138712,168,-930,-328,0
138753,167,-930,-328,0
138794,167,-931,-328,0
138835,167,-930,-328,0
138877,167,-932,-328,0
138918,167,-931,-328,0
138959,167,-931,-327,0
139000,169,-931,-329,0
139041,170,-929,-329,0
139083,167,-932,-328,0
139124,166,-929,-329,0
139165,166,-931,-328,0
139206,167,-932,-328,0
139247,168,-930,-329,0
139289,169,-931,-328,0
139329,168,-930,-329,0
139370,168,-930,-329,0
139412,167,-930,-328,0
139452,167,-931,-328,0
139494,167,-931,-328,0
139535,169,-931,-328,0
139576,167,-931,-329,0
139617,167,-929,-329,0
139658,168,-930,-328,0
139699,167,-930,-328,0
139740,169,-930,-328,0
139781,167,-930,-328,0
139822,166,-931,-329,0
139863,166,-929,-328,0
139904,169,-933,-328,0
139945,170,-930,-329,0
139986,168,-931,-328,0
140027,167,-930,-328,0
140068,167,-930,-328,0
140109,166,-931,-328,0
140151,168,-930,-328,0
140191,168,-931,-328,0
140232,169,-929,-328,0
140273,168,-930,-329,0
140314,167,-930,-328,0
140355,167,-932,-328,0
140396,168,-932,-329,0
140437,167,-931,-327,0
140478,168,-931,-328,0
140519,169,-930,-328,0
140560,169,-928,-328,0
140601,168,-929,-328,0
140642,169,-931,-328,0
140683,167,-931,-328,0
140724,167,-932,-328,0
140766,166,-931,-326,0
140807,168,-930,-328,0
140848,171,-931,-329,0
140889,170,-928,-329,0
140930,168,-929,-328,0
140971,166,-929,-328,0
141012,166,-930,-328,0
141053,168,-933,-328,0
141094,167,-930,-327,0
141136,169,-930,-329,0
141178,169,-929,-328,0
141219,169,-930,-328,0
141260,168,-930,-329,0
141301,167,-932,-328,0
141345,168,-931,-328,0
141387,167,-930,-329,0
141428,168,-929,-328,0
141469,169,-930,-328,0
141510,167,-930,-328,0
141551,167,-930,-328,0
141593,168,-931,-329,0
141634,166,-930,-328,0
141675,167,-931,-328,0
141716,169,-932,-328,0
141757,169,-930,-329,0
141799,168,-930,-329,0
141840,167,-931,-329,0
141881,166,-930,-328,0
141922,168,-931,-328,0
141963,169,-931,-327,0
142005,169,-930,-328,0
142046,168,-930,-328,0
142087,167,-931,-328,0
142128,168,-931,-328,0
142169,167,-930,-328,0
142211,168,-932,-328,0
142252,167,-931,-328,0
142293,167,-931,-328,0
142334,168,-930,-328,0
142375,168,-930,-327,0
142417,168,-929,-328,0
142458,168,-931,-329,0
142499,166,-929,-328,0
142540,166,-932,-328,0
142581,168,-932,-328,0
142622,170,-931,-329,0
142663,168,-931,-329,0
142704,168,-930,-328,0
142745,167,-930,-328,0
142786,167,-932,-328,0
142827,168,-932,-327,0
142868,168,-930,-327,0
142909,168,-931,-328,0
142950,168,-930,-328,0
142991,168,-930,-328,0
143032,168,-930,-328,0
143073,168,-932,-328,0
143114,168,-931,-328,0
143155,168,-929,-328,0
143197,166,-930,-329,0
143238,168,-931,-328,0
143279,167,-931,-328,0
143320,168,-930,-329,0
143361,168,-930,-329,0
143402,167,-931,-328,0
143443,167,-931,-329,0
143484,168,-932,-328,0
143525,169,-930,-328,0
143566,168,-930,-328,0
143607,167,-932,-328,0
143648,166,-930,-329,0
143690,166,-932,-328,0
143731,167,-931,-329,0
143772,168,-931,-328,0
143813,169,-932,-328,0
143854,168,-930,-329,0
143896,167,-931,-328,0
143937,167,-931,-328,0
143978,168,-931,-328,0
144019,167,-931,-329,0
144060,168,-931,-329,0
144102,167,-930,-329,0
144143,168,-929,-328,0
144184,170,-931,-329,0
144225,170,-931,-328,0
144266,167,-931,-328,0
144307,166,-931,-328,0
144348,166,-930,-328,0
144389,170,-932,-327,0
144430,171,-931,-327,0
144471,168,-929,-328,0
144513,166,-930,-329,0
144554,167,-929,-328,0
144595,168,-931,-328,0
144636,169,-933,-327,0
144677,167,-931,-328,0
144719,168,-932,-328,0
144760,167,-930,-328,0
144801,167,-928,-328,0
144842,169,-930,-328,0
144883,171,-931,-326,0
144925,169,-932,-328,0
144966,166,-931,-326,0
145007,165,-930,-329,0
145048,167,-931,-328,0
145089,169,-932,-328,0
145130,169,-930,-328,0
145171,169,-930,-328,0
145212,166,-929,-328,0
145253,167,-932,-328,0
145294,169,-931,-328,0
145335,170,-930,-329,0
145376,168,-931,-328,0
145417,168,-932,-328,0
145458,167,-928,-328,0
145499,167,-930,-329,0
145540,167,-931,-328,0
145581,169,-931,-329,0
145622,170,-932,-328,0
145663,168,-931,-328,0
145704,166,-931,-328,0
145745,166,-930,-328,0
145786,167,-930,-329,0
145827,169,-930,-327,0
145868,169,-930,-329,0
145909,169,-929,-328,0
145950,169,-931,-328,0
145991,168,-929,-328,0
146032,166,-933,-328,0
146073,165,-931,-328,0
146114,167,-931,-328,0
146155,170,-931,-328,0
146196,170,-929,-329,0
146237,169,-931,-328,0
146278,167,-930,-329,0
146319,166,-929,-328,0
146360,168,-932,-327,0
146401,167,-931,-329,0
146442,169,-930,-328,0
146487,170,-932,-328,0
146528,167,-930,-329,0
146569,166,-931,-328,0
146610,166,-932,-328,0
146651,168,-931,-328,0
146692,170,-931,-328,0
146733,168,-930,-329,0
146774,168,-930,-328,0
146815,167,-931,-329,0
146856,167,-931,-328,0
146897,168,-930,-328,0
146938,169,-932,-328,0
146979,166,-930,-327,0
147021,167,-930,-329,0
147062,169,-932,-328,0
147103,169,-930,-329,0
147144,169,-931,-328,0
147185,167,-932,-328,0
147227,167,-930,-329,0
147268,167,-931,-329,0
147309,168,-930,-329,0
147350,170,-930,-328,0
