t_ms,ax,ay,az,steps
2609,114,-72,-1014,0
2651,114,-71,-1015,0
2693,115,-70,-1013,0
2735,116,-70,-1015,0
2777,114,-71,-1014,0
2818,115,-72,-1013,0
2859,114,-70,-1013,0
2903,115,-70,-1012,0
2947,114,-71,-1014,0
2993,116,-70,-1014,0
3037,115,-72,-1014,0
3078,115,-71,-1014,0
3120,116,-71,-1014,0
3162,114,-71,-1012,0
3203,115,-70,-1014,0
3246,114,-72,-1013,0
3288,114,-71,-1014,0
3329,115,-71,-1014,0
3371,116,-70,-1015,0
3413,114,-71,-1014,0
3454,114,-71,-1014,0
3496,115,-71,-1014,0
3538,116,-71,-1013,0
3579,115,-70,-1013,0
3621,116,-71,-1014,0
3663,115,-72,-1014,0
3703,115,-71,-1014,0
3744,115,-71,-1014,0
3786,115,-71,-1014,0
3828,116,-71,-1014,0
3870,115,-70,-1014,0
3912,115,-72,-1012,0
3953,115,-72,-1013,0
3995,114,-71,-1013,0
4036,116,-72,-1013,0
4079,115,-70,-1014,0
4120,115,-71,-1013,0
4162,114,-71,-1012,0
4203,115,-71,-1013,0
4244,115,-70,-1013,0
4287,114,-71,-1012,0
4329,115,-72,-1013,0
4371,115,-71,-1014,0
4413,116,-70,-1013,0
4454,115,-71,-1014,0
4497,114,-71,-1014,0
4538,114,-71,-1013,0
4580,114,-70,-1013,0
4621,115,-70,-1014,0
4664,115,-72,-1014,0
4706,114,-71,-1014,0
4747,115,-71,-1014,0
4789,114,-72,-1014,0
4831,114,-71,-1014,0
4872,115,-71,-1014,0
4914,113,-70,-1014,0
4956,115,-69,-1013,0
4997,115,-72,-1014,0
5039,115,-71,-1013,0
5080,116,-70,-1013,0
5122,115,-72,-1014,0
5163,114,-71,-1014,0
5204,114,-70,-1014,0
5246,115,-71,-1012,0
5288,114,-72,-1014,0
5329,114,-70,-1014,0
5370,115,-72,-1013,0
5413,114,-72,-1015,0
5454,115,-70,-1013,0
5495,115,-70,-1013,0
5537,116,-69,-1015,0
5578,115,-72,-1013,0
5620,114,-72,-1014,0
5662,115,-70,-1014,0
5703,116,-72,-1012,0
5745,114,-71,-1012,0
5786,114,-71,-1013,0
5827,117,-70,-1014,0
5868,115,-72,-1015,0
5911,111,-73,-1011,0
5952,118,-70,-1012,0
5993,113,-70,-1013,0
6034,117,-71,-1014,0
6075,116,-73,-1013,0
6116,116,-71,-1012,0
6161,115,-68,-1015,0
6202,115,-73,-1012,0
6243,114,-73,-1012,0
6284,116,-67,-1015,0
6325,115,-71,-1013,0
6368,116,-72,-1013,0
6409,114,-70,-1015,0
6450,116,-71,-1013,0
6491,114,-70,-1013,0
6532,115,-72,-1014,0
6573,115,-71,-1014,0
6617,115,-70,-1014,0
6658,116,-70,-1015,0
6699,114,-72,-1013,0
6740,117,-71,-1014,0
6781,114,-70,-1015,0
6822,116,-73,-1012,0
6863,115,-70,-1013,0
6904,115,-70,-1014,0
6945,114,-73,-1012,0
6986,115,-68,-1015,0
7027,115,-72,-1012,0
7069,114,-74,-1012,0
7110,116,-69,-1015,0
7151,115,-69,-1015,0
7192,115,-72,-1013,0
7234,115,-72,-1013,0
7279,115,-69,-1014,0
7320,116,-72,-1012,0
